dataset,fold,threshold,precision,recall
DBLP-ACM,3,0.42,0.9932432432432432,0.984375
DBLP-ACM,3,0.43,0.9932432432432432,0.984375
DBLP-ACM,3,0.44,0.9932432432432432,0.984375
DBLP-ACM,3,0.45,0.9932432432432432,0.984375
DBLP-ACM,3,0.46,0.9932432432432432,0.984375
DBLP-ACM,3,0.47,0.9932432432432432,0.984375
DBLP-ACM,3,0.48,0.9932432432432432,0.984375
DBLP-ACM,3,0.49,0.9932432432432432,0.984375
DBLP-ACM,3,0.5,0.9932279909706546,0.9821428571428571
DBLP-ACM,3,0.51,0.9932126696832579,0.9799107142857143
DBLP-ACM,3,0.52,0.9932126696832579,0.9799107142857143
DBLP-ACM,3,0.53,0.9932126696832579,0.9799107142857143
DBLP-ACM,3,0.54,0.9932126696832579,0.9799107142857143
DBLP-ACM,3,0.55,0.9932126696832579,0.9799107142857143
DBLP-ACM,3,0.56,0.9932126696832579,0.9799107142857143
DBLP-ACM,3,0.57,0.9932126696832579,0.9799107142857143
DBLP-ACM,3,0.58,0.9932126696832579,0.9799107142857143
DBLP-ACM,3,0.59,0.9932126696832579,0.9799107142857143
DBLP-ACM,3,0.6,0.9932126696832579,0.9799107142857143
DBLP-ACM,3,0.61,0.9932126696832579,0.9799107142857143
DBLP-ACM,3,0.62,0.9932126696832579,0.9799107142857143
DBLP-ACM,3,0.63,0.9954545454545455,0.9776785714285714
DBLP-ACM,3,0.64,0.9954545454545455,0.9776785714285714
DBLP-ACM,3,0.65,0.9954545454545455,0.9776785714285714
DBLP-ACM,3,0.66,0.9954545454545455,0.9776785714285714
DBLP-ACM,3,0.67,0.9954545454545455,0.9776785714285714
DBLP-ACM,3,0.68,0.9977220956719818,0.9776785714285714
DBLP-ACM,3,0.69,0.9977220956719818,0.9776785714285714
DBLP-ACM,3,0.7,0.9977220956719818,0.9776785714285714
DBLP-ACM,3,0.71,0.9977220956719818,0.9776785714285714
DBLP-ACM,3,0.72,0.997716894977169,0.9754464285714286
DBLP-ACM,3,0.73,1.0,0.9754464285714286
DBLP-ACM,3,0.74,1.0,0.9754464285714286
DBLP-ACM,3,0.75,1.0,0.9754464285714286
DBLP-ACM,3,0.76,1.0,0.9754464285714286
DBLP-ACM,3,0.77,1.0,0.9754464285714286
DBLP-ACM,3,0.78,1.0,0.9754464285714286
DBLP-ACM,3,0.79,1.0,0.9754464285714286
DBLP-ACM,3,0.8,1.0,0.9754464285714286
DBLP-ACM,3,0.81,1.0,0.9754464285714286
